Age,Buyer.County of Origin,Buyer.Full Name,Buyer.Origin,Buyer.State of Origin,Date,Discount Rate,Gender,Name,Number of Adult Slaves,Number of Child Slaves,Number of Total Slaves Purchased,Payment Method,Predicted Interest Rate,Price,Prices Listed,Seller.County of Origin,Seller.Full Name,Seller.Origin,Seller.State of Origin,Skin Color
40.0,Unknown,Maria Hopson,"Unknown, Unknown",Unknown,10/6/1856,0.00602698,M,Shadrack,1,0,1,Cash,0.07477,650.0,1,Unknown,Benjamin Screws,"Unknown, AL",AL,Unknown
44.0,New Orleans,Peyton N. Reynolds,"New Orleans, LA",LA,10/7/1856,0.00602698,F,Jane,1,0,1,Cash,0.07477,550.0,1,New Orleans,Santiago Galseran,"New Orleans, LA",LA,Negro
24.0,New Orleans,Heloise Bagneris,"New Orleans, LA",LA,10/1/1856,0.00602698,F,Helen,1,0,1,Cash,0.07477,1000.0,1,New Orleans,Pierre Macou,"New Orleans, LA",LA,Negro
23.0,Jefferson,Francis Dugue Jr.,"Jefferson, LA",LA,10/8/1856,0.00602698,M,Jeff,1,0,1,Cash,0.07477,1400.0,1,Vanzand,Benjamin Franklin Irby,"Vanzand, TX",TX,Negro
12.0,New Orleans,Anthony O'Dowd,"New Orleans, LA",LA,10/8/1856,0.00602698,M,John,1,0,1,Cash,0.07477,700.0,1,New Orleans,Richard Condon,"New Orleans, LA",LA,Negro
25.0,New Orleans,Polly Courcelle,"New Orleans, LA",LA,10/6/1856,0.00602698,F,Louise,1,2,3,Cash,0.07477,600.0,1,New Orleans,Laurent Roger,"New Orleans, LA",LA,Mulatto
23.0,New Orleans,Henry T. Lownsdale,"New Orleans, LA",LA,10/4/1856,0.00602698,F,Maria,1,0,1,Cash,0.07477,1650.0,1,New Orleans,Rosslynne Cumming Vass,"New Orleans, LA",LA,Mulatto
50.0,New Orleans,Harriett Falkner,"New Orleans, LA",LA,10/20/1856,0.005790818,M,Frederick,2,0,2,Cash and Credit,0.07174632,1200.0,1,New Orleans,Polly Reason,"New Orleans, LA",LA,Negro
20.0,New Orleans,Jacob Van Winckle,"New Orleans, LA",LA,11/8/1856,0.00602698,M,Henry/ Ephraim,1,0,1,Cash,0.07477,1225.0,1,New Orleans,Archibald Lilly,"New Orleans, LA",LA,Negro
26.0,Terrebonne,Francis Olmay Tompkins,"Terrebonne, LA",LA,11/8/1856,0.00602698,M,Henry,1,0,1,Cash,0.07477,1100.0,1,Unknown,George R. Dent,"Unknown, Unknown",Unknown,Griff
38.0,New Orleans,Virginius H. Rhodes,"New Orleans, LA",LA,11/7/1856,0.006114795,M,Nelson,1,0,1,Credit,0.07589632,950.0,1,Smith,Almazen Huston,"Smith, TX",TX,Negro
35.0,New Orleans,Benjamin William Hebrard,"New Orleans, LA",LA,10/5/1856,0.005952163,M,James,1,0,1,Cash and Credit,0.07381124,1005.0,1,Jefferson,Theodore Soniat Dufossat,"Jefferson, LA",LA,Negro
28.0,New Orleans,The New Orleans Gas Light Co. Unknown,"New Orleans, LA",LA,11/11/1856,0.00602698,M,Reuben,1,0,1,Cash,0.07477,1250.0,1,New Orleans,Charles Anthony Miltenberger,"New Orleans, LA",LA,Negro
21.0,New Orleans,Cephise Piseros,"New Orleans, LA",LA,11/10/1856,0.00602698,M,Pierre,1,0,1,Cash,0.07477,1425.0,1,Pointe Coupee,Lennon Ledoux,"Pointe Coupee, LA",LA,Negro
19.0,New Orleans,Louis Joseph Frigerio,"New Orleans, LA",LA,11/10/1856,0.00602698,M,Henry,1,0,1,Cash,0.07477,1000.0,1,New Orleans,Cydalise Fortier,"New Orleans, LA",LA,Mulatto
33.0,New Orleans,Richard Scofield,"New Orleans, LA",LA,11/6/1856,0.00602698,F,Ellen,1,2,3,Cash,0.07477,1200.0,1,New Orleans,Eliza Ashton,"New Orleans, LA",LA,Negro
25.0,Terrebonne,Francis Olmay Tompkins,"Terrebonne, LA",LA,11/12/1856,0.00602698,M,William,3,0,3,Cash,0.07477,1400.0,3,Richmond,Jeremiah Smith,"Richmond, VA",VA,Negro
33.0,New Orleans,Micajah Harris Jr.,"New Orleans, LA",LA,11/12/1856,0.00602698,M,Lewis,2,0,2,Cash,0.07477,1500.0,1,Cass,Lafayette L. Guin,"Cass, TX",TX,Negro
33.0,New Orleans,Susan N. Ross,"New Orleans, LA",LA,10/30/1856,0.006202525,M,George,1,0,1,Credit,0.07702264,800.0,1,New Orleans,Joseph M. Savage,"New Orleans, LA",LA,Griff
18.0,Unknown,Mary Thayer,"Unknown, Unknown",Unknown,11/14/1856,0.00602698,F,Mary,1,0,1,Cash,0.07477,500.0,1,New Orleans,James Peter Freret,"New Orleans, LA",LA,Negro
17.0,New Orleans,Thomas A. Stone,"New Orleans, LA",LA,11/15/1856,0.00602698,F,Dealy,1,0,1,Cash,0.07477,700.0,1,New Orleans,John A. Burke,"New Orleans, LA",LA,Griff
14.0,New Orleans,Henry Pear Buckley,"New Orleans, LA",LA,11/14/1856,0.00602698,M,Henry,1,0,1,Cash,0.07477,1000.0,1,New Orleans,Lewis Neville Shelton,"New Orleans, LA",LA,Negro
20.0,New Orleans,Oscar Liveaudais,"New Orleans, LA",LA,11/18/1856,0.00587886,M,Arthur,1,0,1,Cash and Credit,0.07287264,1000.0,1,New Orleans,Louis Gustave McQueen,"New Orleans, LA",LA,Unknown
13.0,Unknown,S. Gensler,"Unknown, Unknown",Unknown,10/14/1856,0.00602698,F,Julie,1,0,1,Cash,0.07477,660.0,1,Unknown,Charles Clement Bellenot,"Unknown, Unknown",Unknown,Unknown
50.0,New Orleans,Alfred Mouchon,"New Orleans, LA",LA,11/18/1856,0.00602698,F,Delilah,1,0,1,Cash,0.07477,150.0,1,New Orleans,Rosa Miller,"New Orleans, LA",LA,Unknown
34.0,New Orleans,John B. Robertson,"New Orleans, LA",LA,11/14/1856,0.00602698,M,Floyd,1,0,1,Cash,0.07477,1021.33,1,New Orleans,Cornelius Noonan,"New Orleans, LA",LA,Negro
43.0,New Orleans,Phillip Jason Frederick Woods,"New Orleans, LA",LA,11/14/1856,0.00602698,F,Isabella,1,0,1,Cash,0.07477,150.0,1,New Orleans,Holland McTyeire,"New Orleans, LA",LA,Negro
48.0,New Orleans,Sarah Potee,"New Orleans, LA",LA,11/17/1856,0.00602698,F,Criddy,1,0,1,Cash,0.07477,230.0,1,New Orleans,John Brohan,"New Orleans, LA",LA,Negro
23.0,New Orleans,John H. Follett,"New Orleans, LA",LA,11/18/1856,0.00602698,F,Ida,1,0,1,Cash,0.07477,1250.0,1,New Orleans,Bernard Kendig,"New Orleans, LA",LA,Griff
13.0,Calcasieu,Jacob Cole,"Calcasieu, LA",LA,11/15/1856,0.00602698,F,Aline,1,0,1,Cash,0.07477,800.0,1,New Orleans,William Jackson Maynard,"New Orleans, LA",LA,Negro
23.0,New Orleans,Catherine Pradat,"New Orleans, LA",LA,11/18/1856,0.005790818,F,Isabella,1,0,1,Cash and Credit,0.07174632,975.0,1,New Orleans,Norbert Vignie,"New Orleans, LA",LA,Negro
23.0,New Orleans,Manuel Elliot,"New Orleans, LA",LA,11/19/1856,0.005790818,F,Rosa,1,0,1,Cash and Credit,0.07174632,1235.0,1,St. Bernard,Antoine Landier,"St. Bernard, LA",LA,Negro
40.0,New Orleans,Thomas L. Bayne,"New Orleans, LA",LA,11/14/1856,0.00602698,F,Mathilda,1,1,2,Cash,0.07477,1500.0,1,New Orleans,Genevieve Odile Longer,"New Orleans, LA",LA,Negro
55.0,New Orleans,Louis Caretta,"New Orleans, LA",LA,11/6/1856,0.005790818,F,Ann/ Celeste,1,0,1,Cash and Credit,0.07174632,220.0,1,New Orleans,"Marie, Marthe Millaudon","New Orleans, LA",LA,Unknown
20.0,New Orleans,John A. Kranz,"New Orleans, LA",LA,11/21/1856,0.005790818,F,Mary Jane,1,1,2,Cash and Credit,0.07174632,1075.0,1,New Orleans,Richard Farrell Harrison,"New Orleans, LA",LA,Mulatto
19.0,New Orleans,Pierre Ninon Faisans,"New Orleans, LA",LA,11/21/1856,0.005790818,F,Sarah,1,0,1,Cash and Credit,0.07174632,1200.0,1,New Orleans,Thomas Charles Payan,"New Orleans, LA",LA,Mulatto
22.0,New Orleans,Lewis Neville Shelton,"New Orleans, LA",LA,11/22/1856,0.00602698,M,Dudly Green,1,0,1,Cash,0.07477,900.0,1,East Feliciana,James R. Shelton,"East Feliciana, LA",LA,Negro
37.0,New Orleans,Charles Metye,"New Orleans, LA",LA,11/24/1856,0.00602698,F,Cidalize,1,0,1,Cash,0.07477,900.0,1,New Orleans,Anette Malus,"New Orleans, LA",LA,Negro
22.0,Orleans,John F. Hughes,"Orleans, LA",LA,11/5/1856,0.00602698,M,Henry,1,0,1,Cash,0.07477,1200.0,1,Herckman,Felix C. McFall,"Herckman, KY",KY,Griff
30.0,St. Bernard,Maria Morales,"St. Bernard, LA",LA,11/25/1856,0.00602698,F,Mary Ann,1,0,1,Exchange,0.07477,700.0,1,New Orleans,Antonio de Monasterio,"New Orleans, LA",LA,Negro
14.0,New Orleans,Antonio de Monasterio,"New Orleans, LA",LA,11/25/1856,0.00602698,F,Philomene,1,0,1,Exchange,0.07477,700.0,1,St. Bernard,Maria Morales,"St. Bernard, LA",LA,Negro
23.0,New Orleans,Truman Cook Holmes,"New Orleans, LA",LA,11/17/1856,0.00602698,M,Moses,1,0,1,Cash,0.07477,1200.0,1,New Orleans,D. G. Hill,"New Orleans, LA",LA,Negro
27.0,New Orleans,William Jackson Maynard,"New Orleans, LA",LA,11/25/1856,0.00602698,M,Auguste,1,0,1,Cash,0.07477,825.0,1,New Orleans,Numa Lacoste,"New Orleans, LA",LA,Negro
25.0,St. Louis,John Ruckner White,"St. Louis, MO",MO,11/24/1856,0.00602698,M,Phil,1,0,1,Cash,0.07477,800.0,1,Pointe Coupee,John L. Daniel,"Pointe Coupee, LA",LA,Mulatto
16.0,New Orleans,Abraham Haber,"New Orleans, LA",LA,11/14/1856,0.00602698,F,Lucy,1,0,1,Cash,0.07477,900.0,1,New Orleans,Thomas Emile Benoit,"New Orleans, LA",LA,Negro
31.0,New Orleans,Henry Cassidy,"New Orleans, LA",LA,11/22/1856,0.00602698,F,Maria,1,0,1,Cash,0.07477,600.0,1,New Orleans,Henry Weber,"New Orleans, LA",LA,Griff
13.0,New Orleans,Hippolyte Griffon,"New Orleans, LA",LA,11/18/1856,0.006114795,M,John,1,0,1,Credit,0.07589632,800.0,1,St. Louis,Robert Eager,"St. Louis, MS",MS,Negro
32.0,New Orleans,Joseph Hoy,"New Orleans, LA",LA,11/26/1856,0.00602698,M,Richard/ Dick,1,0,1,Cash,0.07477,1000.0,1,New Orleans,Tyler C. Boswell,"New Orleans, LA",LA,Negro
54.0,New Orleans,Augustine Lion,"New Orleans, LA",LA,11/27/1856,0.00602698,F,Azelie,1,0,1,Cash,0.07477,150.0,1,New Orleans,Charles Joseph Daron,"New Orleans, LA",LA,Negro
30.0,New Orleans,Lewis Neville Shelton,"New Orleans, LA",LA,11/18/1856,0.00602698,F,Louise,1,0,1,Cash,0.07477,900.0,1,New Orleans,Adelaide Aubry,"New Orleans, LA",LA,Negro
35.0,New Orleans,Rosa Rieux,"New Orleans, LA",LA,10/21/1856,0.00602698,F,Malinda,1,0,1,Cash,0.07477,500.0,1,New Orleans,Seraphin Maspereau,"New Orleans, LA",LA,Negro
26.0,New Orleans,Puig Mir & Co. Unknown,"New Orleans, LA",LA,11/27/1856,0.006202525,M,Caid,1,0,1,Credit,0.07702264,1800.0,1,New Orleans,"Joseph, Lorenzo Llado, Carbo","New Orleans, LA",LA,Negro
27.0,New Orleans,Blanche Lallande Ferrier,"New Orleans, LA",LA,11/27/1856,0.00602698,F,Sarah,1,0,1,Cash,0.07477,1150.0,1,New Orleans,William G. Mullan,"New Orleans, LA",LA,Negro
45.0,New Orleans,Jean Moreau,"New Orleans, LA",LA,11/28/1856,0.00602698,F,Phillis,1,0,1,Cash,0.07477,200.0,1,New Orleans,Leonard Nicolas Jahan,"New Orleans, LA",LA,Negro
27.0,New Orleans,John Robertson,"New Orleans, LA",LA,11/25/1856,0.00602698,F,Elsey,1,0,1,Cash,0.07477,1000.0,1,Rusk,Newell Tullis,"Rusk, TX",TX,Negro
15.0,New Orleans,William E. Camp,"New Orleans, LA",LA,11/28/1856,0.00602698,F,Lucy,1,0,1,Cash,0.07477,950.0,1,New Orleans,Bernard Kendig,"New Orleans, LA",LA,Negro
41.0,New Orleans,Katy Greene,"New Orleans, LA",LA,11/28/1856,0.00602698,F,Harriet,1,0,1,Cash,0.07477,200.0,1,New Orleans,Joseph Deseameis,"New Orleans, LA",LA,Negro
45.0,Unknown,Mary Anna McCosky,"Unknown, Unknown",Unknown,12/1/1856,0.00587886,F,Rosalie,1,1,2,Cash and Credit,0.07287264,1275.0,1,New Orleans,Pierre Paul Lobit,"New Orleans, LA",LA,Unknown
23.0,Assumption,Daniel Morrison,"Assumption, LA",LA,12/2/1856,0.00602698,M,Robert,1,0,1,Exchange,0.07477,1500.0,1,Baltimore,Bernard Moore Campbell,"Baltimore, MD",MD,Negro
22.0,Baltimore,Bernard Moore Campbell,"Baltimore, MD",MD,12/2/1856,0.00602698,M,Sanford Lucas,1,0,1,Exchange,0.07477,1500.0,1,Assumption,Daniel Morrison,"Assumption, LA",LA,Negro
16.0,Madison,Thomas Luther Bedford,"Madison, LA",LA,12/7/1856,0.00602698,F,Lucy,1,0,1,Cash,0.07477,1200.0,1,Jefferson,Joseph Holden,"Jefferson, LA",LA,Negro
20.0,Madison,Thomas Luther Bedford,"Madison, LA",LA,12/2/1856,0.00602698,M,Ezekiel,1,0,1,Cash,0.07477,1300.0,1,New Orleans,Dennis Campbell,"New Orleans, LA",LA,Negro
21.0,Madison,Thomas Luther Bedford,"Madison, LA",LA,12/2/1856,0.00602698,M,Austin,1,0,1,Cash,0.07477,1350.0,1,Fayette,George R. Harrison,"Fayette, KY",KY,Negro
20.0,Madison,Thomas Luther Bedford,"Madison, LA",LA,12/3/1856,0.00602698,M,Thomas,1,0,1,Cash,0.07477,1100.0,1,Claiborne,James Smith,"Claiborne, LA",LA,Negro
24.0,New Orleans,John L. Lancaster,"New Orleans, LA",LA,12/3/1856,0.006114795,F,Margaret,1,0,1,Credit,0.07589632,1150.0,1,New Orleans,Edgar Larue,"New Orleans, LA",LA,Mulatto
26.0,New Orleans,Louis Shelton,"New Orleans, LA",LA,12/2/1856,0.00602698,M,Frank,1,0,1,Cash,0.07477,995.0,1,New Orleans,George May,"New Orleans, LA",LA,Mulatto
25.0,New Orleans,Jose Tipura Lopez,"New Orleans, LA",LA,12/2/1856,0.00602698,F,Hester,1,0,1,Cash,0.07477,800.0,1,Unknown,John Matlock,"Unknown, AR",AR,Griff
37.0,New Orleans,James Foulhouze,"New Orleans, LA",LA,12/4/1856,0.00602698,F,Peggy,1,1,2,Cash,0.07477,1700.0,1,New Orleans,Anne Clothilde. Penne,"New Orleans, LA",LA,Negro
33.0,New Orleans,Micajah Harris Jr.,"New Orleans, LA",LA,12/3/1856,0.00602698,M,Lewis,2,0,2,Cash,0.07477,1700.0,1,Cass,L. Lafayette ,"Cass, TX",TX,Negro
30.0,New Orleans,Lewis Neville Shelton,"New Orleans, LA",LA,12/5/1856,0.00602698,M,Arthur,1,0,1,Cash,0.07477,900.0,1,New Orleans,Robert W. Estlin,"New Orleans, LA",LA,Negro
39.0,Unknown,Eliza Noel,"Unknown, Unknown",Unknown,5/15/1837,0.006114795,F,Mary,1,0,1,Credit,0.07589632,300.0,1,New Orleans,Paul Hippolyte Monsseaux,"New Orleans, LA",LA,Negro
37.0,Jefferson,Dexter G. Hitchcock,"Jefferson, LA",LA,12/3/1856,0.00602698,F,Letty,1,0,1,Cash,0.07477,297.0,1,New Orleans,Joseph L. Copes,"New Orleans, LA",LA,Negro
47.0,New Orleans,Joseph Benito,"New Orleans, LA",LA,5/15/1837,0.00602698,M,Martin,1,0,1,Cash,0.07477,250.0,1,New Orleans,Louis Joseph Tinchant,"New Orleans, LA",LA,Negro
20.0,New Orleans,Adolphus Bruenn,"New Orleans, LA",LA,12/5/1856,0.006202525,F,Kitty,1,0,1,Credit,0.07702264,710.0,1,New Orleans,Bernard Kendig,"New Orleans, LA",LA,Negro
17.0,New Orleans,Caroline Doyal,"New Orleans, LA",LA,12/7/1856,0.00602698,F,Emma,1,0,1,Cash,0.07477,1400.0,1,New Orleans,Bernard Kendig,"New Orleans, LA",LA,Negro
34.0,New Orleans,Lewis Neville Shelton,"New Orleans, LA",LA,12/4/1856,0.00602698,M,Jim Hamilton,1,0,1,Cash,0.07477,500.0,1,Jefferson,Edward Gardere,"Jefferson, LA",LA,Negro
45.0,New Orleans,Heide Meynier,"New Orleans, LA",LA,12/5/1856,0.00602698,M,Weiner,1,0,1,Cash,0.07477,300.0,1,New Orleans,Edmond le Blanc,"New Orleans, LA",LA,Negro
22.0,New Orleans,Isaac P. Abrams,"New Orleans, LA",LA,12/5/1856,0.005790818,M,Gideon,1,0,1,Cash and Credit,0.07174632,1300.0,1,New Orleans,James Penn Shortridge,"New Orleans, LA",LA,Negro
21.0,Jefferson,Francois Pierre Volant la Barre,"Jefferson, LA",LA,12/5/1856,0.006202525,M,Isaac,1,0,1,Credit,0.07702264,1250.0,1,New Orleans,Bernard Kendig,"New Orleans, LA",LA,Negro
14.0,New Orleans,Samuel Friedlander,"New Orleans, LA",LA,12/8/1856,0.00602698,F,Mary,1,0,1,Cash,0.07477,800.0,1,New Orleans,"John G., Georgianna Harris, Quincy","New Orleans, LA",LA,Mulatto
23.0,New Orleans,N. S. Torrey & Co. Unknown,"New Orleans, LA",LA,12/8/1856,0.00602698,M,Newton,1,0,1,Cash,0.07477,1000.0,1,Nashville,George Washington Hitchings,"Nashville, TN",TN,Mulatto
47.0,New Orleans,George W. Parmy,"New Orleans, LA",LA,12/5/1856,0.00602698,M,Henry,1,0,1,Cash,0.07477,300.0,1,New Orleans,Samuel G. Wilson,"New Orleans, LA",LA,Griff
24.0,New Orleans,Eugene Petitpain,"New Orleans, LA",LA,12/9/1856,0.005790818,M,Pressely,1,0,1,Cash and Credit,0.07174632,745.0,1,St. Landry,Alceshe Roy,"St. Landry, LA",LA,Negro
18.0,New Orleans,John B. Womack,"New Orleans, LA",LA,12/10/1856,0.00602698,F,Marie Louise,1,0,1,Cash,0.07477,800.0,1,New Orleans,Domingo Fatjo,"New Orleans, LA",LA,Mulatto
24.0,New Orleans,Alfred Blanc,"New Orleans, LA",LA,12/10/1856,0.00602698,F,Elizabeth,1,0,1,Cash,0.07477,1000.0,1,New Orleans,Felix Ducayet,"New Orleans, LA",LA,Negro
20.0,New Orleans,Antoine Hernandez,"New Orleans, LA",LA,12/6/1856,0.00602698,F,Pauline,1,0,1,Cash,0.07477,1250.0,1,New Orleans,Enrique Ainz,"New Orleans, LA",LA,Negro
35.0,New Orleans,H. A. & G. W. Lee Unknown,"New Orleans, LA",LA,12/11/1856,0.00602698,F,Lucinda,1,0,1,Cash,0.07477,800.0,1,New Orleans,John A. Haggerty,"New Orleans, LA",LA,Negro
13.0,New Orleans,John H. Follett,"New Orleans, LA",LA,12/6/1856,0.00602698,F,Esther,1,0,1,Cash,0.07477,900.0,1,New Orleans,Helen Harrison,"New Orleans, LA",LA,Negro
20.0,Jefferson,"Gustave, Francois Pierre Volant le Roy, la Barre","Jefferson, LA",LA,12/8/1856,0.00602698,M,Humphry,2,0,2,Cash,0.07477,1450.0,2,Richmond,Jeremiah Smith,"Richmond, VA",VA,Negro
23.0,New Orleans,Lionel C. Levy,"New Orleans, LA",LA,12/11/1856,0.00602698,F,Lavinia,1,0,1,Cash,0.07477,1050.0,1,New Orleans,Bernard Kendig,"New Orleans, LA",LA,Negro
20.0,New Orleans,Lewis Neville Shelton,"New Orleans, LA",LA,12/12/1856,0.00602698,F,Adeline,2,0,2,Cash,0.07477,2000.0,1,Abbeville,George Ambrose Christopher,"Abbeville, SC",SC,Griff
32.0,New Orleans,Marie Agathe Abat,"New Orleans, LA",LA,12/8/1856,0.006202525,F,Marcelite,1,0,1,Credit,0.07702264,900.0,1,New Orleans,Josephine Martin,"New Orleans, LA",LA,Negro
21.0,New Orleans,Octave Hopkins,"New Orleans, LA",LA,12/1/1856,0.00602698,F,Clemence/ Chouchoutto,1,1,2,Cash,0.07477,1000.0,1,New Orleans,Marie Eugenie Mathey,"New Orleans, LA",LA,Negro
45.0,New Orleans,James Chapman,"New Orleans, LA",LA,12/11/1856,0.00602698,F,Charlotte/ Milly,1,0,1,Cash,0.07477,100.0,1,New Orleans,William Adams,"New Orleans, LA",LA,Negro
23.0,Carroll,Thomas Evans,"Carroll, LA",LA,12/12/1856,0.00602698,M,Allen,3,1,4,Cash,0.07477,1350.0,3,Montgomery,John F. Johnson,"Montgomery, AL",AL,Negro
45.0,New Orleans,Frederic Dellondio,"New Orleans, LA",LA,12/12/1856,0.00602698,F,Adelaide,3,0,3,Cash,0.07477,1500.0,1,New Orleans,Francis Joseph Levis,"New Orleans, LA",LA,Griff
26.0,New Orleans,John Jackson,"New Orleans, LA",LA,12/10/1856,0.00602698,F,Elizabeth,1,0,1,Cash,0.07477,1200.0,1,New Orleans,John Myers,"New Orleans, LA",LA,Griff
14.0,New Orleans,Joseph Sequi y Gahona,"New Orleans, LA",LA,12/13/1856,0.00602698,M,Joseph,1,0,1,Cash,0.07477,1050.0,1,New Orleans,Wiley J Martin,"New Orleans, LA",LA,Mulatto
17.0,Catahoula,Lewis Baker Ker,"Catahoula, LA",LA,12/13/1856,0.00602698,M,Willis,2,1,3,Cash,0.07477,1300.0,2,Henry,Barton William Jenkins,"Henry, KY",KY,Negro
40.0,New Orleans,Nancy Van Ostern,"New Orleans, LA",LA,12/15/1856,0.00602698,M,Ben,1,0,1,Cash,0.07477,500.0,1,New Orleans,Leonard Matthews,"New Orleans, LA",LA,Negro
21.0,New Orleans,Alfred Shaw,"New Orleans, LA",LA,12/15/1856,0.005746766,M,Amos Geary,1,0,1,Credit,0.07118316,1300.0,1,Unknown,John Ruckner White,"Unknown, MO",MO,Negro
15.0,New Orleans,Francis Moreno,"New Orleans, LA",LA,12/12/1856,0.00602698,M,Honore,1,0,1,Cash,0.07477,700.0,1,New Orleans,Gaile Desmare,"New Orleans, LA",LA,Negro
24.0,New Orleans,Dominique Bouligny,"New Orleans, LA",LA,12/11/1856,0.00602698,F,Leah,1,0,1,Cash,0.07477,1275.0,1,New Orleans,Samuel Bell,"New Orleans, LA",LA,Negro
41.0,New Orleans,Robert Pitkin,"New Orleans, LA",LA,12/8/1856,0.005776137,M,Robert/ Bob,1,0,1,Cash and Credit,0.0715586,500.0,1,Jefferson,David Resolve Godwin,"Jefferson, LA",LA,Griff
38.0,New Orleans,Augustus Block,"New Orleans, LA",LA,12/13/1856,0.00583485,F,Betty,1,7,8,Cash and Credit,0.07230948,5500.0,1,New Orleans,Mary Ann Smucker,"New Orleans, LA",LA,Griff
21.0,Jackson,Henry H. Carter,"Jackson, LA",LA,12/12/1856,0.00602698,M,Nat,1,0,1,Cash,0.07477,1275.0,1,Montgomery,John G. Johnson,"Montgomery, AL",AL,Negro
20.0,Jackson,Henry H. Carter,"Jackson, LA",LA,12/12/1856,0.00602698,F,Mary,1,0,1,Cash,0.07477,1075.0,1,Montgomery,John G. Johnson,"Montgomery, AL",AL,Negro
26.0,New Orleans,Andrew & Lierau Unknown,"New Orleans, LA",LA,12/15/1856,0.00602698,F,Elizabeth,1,0,1,Cash,0.07477,1200.0,1,New Orleans,John Jackson,"New Orleans, LA",LA,Griff
15.0,New Orleans,Jose Martinez,"New Orleans, LA",LA,12/15/1856,0.00602698,M,John,1,0,1,Cash,0.07477,860.0,1,New Orleans,Mary Regan,"New Orleans, LA",LA,Negro
37.0,New Orleans,Elizabeth Leticia Robinson,"New Orleans, LA",LA,12/16/1856,0.00602698,F,Jane,1,0,1,Cash,0.07477,650.0,1,New Orleans,Pierre Amedee de Buys,"New Orleans, LA",LA,Griff
26.0,New Orleans,Lewis Neville Shelton,"New Orleans, LA",LA,12/10/1856,0.00602698,M,Puis,1,0,1,Cash,0.07477,1200.0,1,Grand Gulf,Robert C. Hume,"Grand Gulf, MS",MS,Dark Griff
41.0,New Orleans,Mary Anna Parent,"New Orleans, LA",LA,12/17/1856,0.00583485,F,Henriette,1,2,3,Cash and Credit,0.07230948,1250.0,1,New Orleans,Jacques Calonjat,"New Orleans, LA",LA,Negro
17.0,New Orleans,Betty Whitehead Cunningham,"New Orleans, LA",LA,12/15/1856,0.00602698,F,Anna,1,0,1,Cash,0.07477,1250.0,1,New Orleans,John J. Green,"New Orleans, LA",LA,Griff
13.0,New Orleans,William Henry Crafts,"New Orleans, LA",LA,12/17/1856,0.00602698,F,Oneida,1,0,1,Cash,0.07477,600.0,1,New Orleans,Celeste Dapremont,"New Orleans, LA",LA,Griff
11.0,New Orleans,John Trabue Hatcher,"New Orleans, LA",LA,12/17/1856,0.00602698,F,Dinah,1,0,1,Cash,0.07477,675.0,1,New Orleans,Pablo Gelpi,"New Orleans, LA",LA,Negro
38.0,New Orleans,Lewis Neville Shelton,"New Orleans, LA",LA,12/19/1856,0.00602698,F,Minerva,1,0,1,Cash,0.07477,400.0,1,St. Tammany,Samuel P. Russ,"St. Tammany, LA",LA,Light Black
24.0,West Baton Rouge,James Richard Duvall,"West Baton Rouge, LA",LA,12/19/1856,0.00587886,M,Hiram,2,0,2,Credit,0.07287264,1450.0,2,Richmond,Jeremiah Smith,"Richmond, VA",VA,Griff
30.0,New Orleans,Warren Shelton,"New Orleans, LA",LA,12/12/1856,0.006901355,M,Edmond,7,0,7,Credit,0.0860332,11000.0,1,New Orleans,Daniel Pierre Pautz,"New Orleans, LA",LA,Negro
15.0,Unknown,Josephine Magagnos,"Unknown, Unknown",Unknown,12/18/1856,0.00602698,F,Clarissa,1,0,1,Cash,0.07477,1050.0,1,New Orleans,Theodore Johnston,"New Orleans, LA",LA,Negro
20.0,New Orleans,Eliza Huntington,"New Orleans, LA",LA,12/20/1856,0.00602698,M,Carlos,1,0,1,Cash,0.07477,1150.0,1,Polk,Geph P. Ross,"Polk, TX",TX,Negro
23.0,Ascension,Louisa Doyal,"Ascension, LA",LA,12/20/1856,0.00602698,M,Thomas Jefferson,1,0,1,Cash,0.07477,1200.0,1,New Orleans,Jane McNair Baldwin,"New Orleans, LA",LA,Mulatto
26.0,New Orleans,Henry Hicke Crocker,"New Orleans, LA",LA,12/10/1856,0.00583485,F,Sarah,1,0,1,Cash and Credit,0.07230948,800.0,1,New Orleans,Cromwell & Taylor Unknown,"New Orleans, LA",LA,Negro
29.0,New Orleans,Lewis Neville Shelton,"New Orleans, LA",LA,12/22/1856,0.00602698,F,Barney,1,0,1,Cash,0.07477,710.0,1,Pensacola,Ezekiel E. Simpson,"Pensacola, FL",FL,Negro
24.0,New Orleans,Joseph Francois Avet,"New Orleans, LA",LA,12/22/1856,0.00602698,M,Anthony,3,0,3,Cash,0.07477,0.0,1,New Orleans,Claude Frederick Avet,"New Orleans, LA",LA,Negro
25.0,New Orleans,Joseph Francois Avet,"New Orleans, LA",LA,12/22/1856,0.00602698,F,Pauline,1,0,1,Cash,0.07477,775.0,1,New Orleans,"Claude Frederick, Caroline Isabella Haifleigh Avet","New Orleans, LA",LA,Griff
26.0,New Orleans,Joseph Francois Avet,"New Orleans, LA",LA,12/22/1856,0.00602698,F,Caroline,1,0,1,Cash,0.07477,800.0,1,New Orleans,Claude Frederick Avet,"New Orleans, LA",LA,Negro
16.0,New Orleans,Joseph Francois Avet,"New Orleans, LA",LA,12/22/1856,0.00602698,F,Maria,1,0,1,Cash,0.07477,950.0,1,New Orleans,Claude Frederick Avet,"New Orleans, LA",LA,Negro
