amazon revenue,author revenue,average rating,genre,gross sales,name,publisher revenue,sale price,sales rank,sold by,total reviews,type,units sold
1118.6,1118.6,3.6,genre fiction,5593.0,Reagan Arthur Books,3355.8,7.99,160,Hachette Book Group,1783,big five,700
270.64,270.64,4.34,genre fiction,1353.2,HarperCollins e-books,811.92,1.99,164,HarperCollins Publishers,102,big five,680
133.65,133.65,4.11,nonfiction,668.25,(Small or Medium Publisher),400.95,0.99,165,"Amazon Digital Services,  Inc.",9,small/medium,675
735.66,735.66,4.35,genre fiction,3678.3,(Small or Medium Publisher),2206.98,5.49,166,"Amazon Digital Services,  Inc.",14,small/medium,670
131.67,131.67,4.42,genre fiction,658.35,(Small or Medium Publisher),395.01,0.99,167,"Amazon Digital Services,  Inc.",101,small/medium,665
1562.88,1562.88,0.0,genre fiction,7814.4,Ballantine Books,4688.64,11.84,168,Random House LLC,0,big five,660
421.4925,226.9575,4.5,genre fiction,648.45,(Indie Publisher),0.0,0.99,169,"Amazon Digital Services,  Inc.",10,indie,655
1963.69,1963.69,4.3,genre fiction,9818.45,Vintage,5891.07,14.99,169,Random House LLC,8339,big five,655
2108.275,1135.225,4.42,genre fiction,3243.5,Skyscape,0.0,4.99,170,"Amazon Digital Services,  Inc.",1505,amazon,650
583.05,1360.45,4.29,genre fiction,1943.5,(Indie Publisher),0.0,2.99,170,"Amazon Digital Services,  Inc.",96,indie,650
2092.0575,1126.4925,4.65,genre fiction,3218.55,47North,0.0,4.99,171,"Amazon Digital Services,  Inc.",89,amazon,645
894.72,894.72,4.24,genre fiction,4473.6,Delacorte Press,2684.16,6.99,172,Random House LLC,3806,big five,640
1132.74,1132.74,4.41,genre fiction,5663.7,Scribner,3398.22,8.99,174,Simon and Schuster Digital Sales Inc,5195,big five,630
395.7525,213.0975,4.5,genre fiction,608.85,(Indie Publisher),0.0,0.99,177,"Amazon Digital Services,  Inc.",20,indie,615
120.78,120.78,4.63,genre fiction,603.9,(Small or Medium Publisher),362.34,0.99,178,"Amazon Digital Services,  Inc.",22,small/medium,610
786.5,423.5,4.11,genre fiction,1210.0,Skyscape,0.0,2.0,179,"Amazon Digital Services,  Inc.",1033,amazon,605
386.1,207.9,4.26,genre fiction,594.0,(Indie Publisher),0.0,0.99,180,"Amazon Digital Services,  Inc.",351,indie,600
1062.075,2478.175,4.68,genre fiction,3540.25,(Indie Publisher),0.0,5.95,181,"Amazon Digital Services,  Inc.",76,indie,595
712.81,712.81,4.94,genre fiction,3564.05,Berkley,2138.43,5.99,181,Penguin Group (USA) LLC,116,big five,595
234.82,234.82,4.69,genre fiction,1174.1,(Small or Medium Publisher),704.46,1.99,182,"Amazon Digital Services,  Inc.",56,small/medium,590
1040.13,1040.13,4.89,genre fiction,5200.65,Feiwel & Friends,3120.39,8.89,183,Macmillan,37,big five,585
370.0125,199.2375,4.24,genre fiction,569.25,(Indie Publisher),0.0,0.99,185,"Amazon Digital Services,  Inc.",33,indie,575
737.295,397.005,3.91,genre fiction,1134.3,(Indie Publisher),0.0,1.99,186,"Amazon Digital Services,  Inc.",268,indie,570
497.835,1161.615,3.94,genre fiction,1659.45,(Indie Publisher),0.0,2.99,189,"Amazon Digital Services,  Inc.",37,indie,555
886.89,886.89,4.15,genre fiction,4434.45,Riverhead,2660.67,7.99,189,Penguin Group (USA) LLC,5042,big five,555
108.9,108.9,4.62,nonfiction,544.5,(Small or Medium Publisher),326.7,0.99,190,"Amazon Digital Services,  Inc.",1490,small/medium,550
347.49,187.11,4.9,genre fiction,534.6,(Indie Publisher),0.0,0.99,192,"Amazon Digital Services,  Inc.",11,indie,540
646.38,1508.22,4.75,genre fiction,2154.6,(Indie Publisher),0.0,3.99,192,"Amazon Digital Services,  Inc.",68,indie,540
319.93,319.93,4.46,nonfiction,1599.65,Broadway Books,959.79,2.99,193,Random House LLC,1980,big five,535
104.94,104.94,4.5,genre fiction,524.7,Entangled: Brazen,314.82,0.99,194,Macmillan,100,big five,530
204.97,204.97,4.51,nonfiction,1024.85,(Small or Medium Publisher),614.91,1.99,197,"Amazon Digital Services,  Inc.",29,small/medium,515
457.47,1067.43,4.27,genre fiction,1524.9,(Indie Publisher),0.0,2.99,198,"Amazon Digital Services,  Inc.",36,indie,510
402.99,402.99,4.5,genre fiction,2014.95,(Single-Author Publisher),1208.97,3.99,199,"Amazon Digital Services,  Inc.",90,single author,505
1086.636,1086.636,4.41,genre fiction,5433.18,Viking Adult,3259.908,10.91,201,Penguin Group (USA) LLC,702,big five,498
444.912,1038.128,4.4,genre fiction,1483.04,(Indie Publisher),0.0,2.99,202,"Amazon Digital Services,  Inc.",42,indie,496
590.182,590.182,4.47,genre fiction,2950.91,Avon,1770.546,6.01,205,HarperCollins Publishers,153,big five,491
489.02,489.02,4.38,genre fiction,2445.1,Grand Central Publishing,1467.06,4.99,206,Hachette Book Group,3083,big five,490
96.624,96.624,4.43,genre fiction,483.12,(Small or Medium Publisher),289.872,0.99,207,"Amazon Digital Services,  Inc.",76,small/medium,488
521.184,521.184,4.47,fiction,2605.92,Speak,1563.552,5.34,207,Penguin Group (USA) LLC,1264,big five,488
1053.906,1053.906,4.33,genre fiction,5269.53,Putnam Adult,3161.718,10.91,210,Penguin Group (USA) LLC,165,big five,483
411.516,411.516,0.0,nonfiction,2057.58,Zondervan,1234.548,4.26,210,HarperCollins Publishing,0,big five,483
309.5235,166.6665,4.95,genre fiction,476.19,(Indie Publisher),0.0,0.99,211,"Amazon Digital Services,  Inc.",86,indie,481
95.04,95.04,4.63,genre fiction,475.2,(Single-Author Publisher),285.12,0.99,212,"Amazon Digital Services,  Inc.",65,single author,480
428.766,1000.454,4.88,genre fiction,1429.22,(Indie Publisher),0.0,2.99,213,"Amazon Digital Services,  Inc.",17,indie,478
1050.644,1050.644,0.0,genre fiction,5253.22,Ballantine Books,3151.932,10.99,213,Random House LLC,0,big five,478
426.972,996.268,4.93,genre fiction,1423.24,(Indie Publisher),0.0,2.99,214,"Amazon Digital Services,  Inc.",188,indie,476
475.048,475.048,4.64,genre fiction,2375.24,Forever,1425.144,4.99,214,Hachette Book Group,48,big five,476
305.6625,164.5875,4.18,genre fiction,470.25,(Indie Publisher),0.0,0.99,215,"Amazon Digital Services,  Inc.",631,indie,475
94.05,94.05,4.52,genre fiction,470.25,(Single-Author Publisher),282.15,0.99,215,"Amazon Digital Services,  Inc.",65,single author,475
419.796,979.524,4.85,genre fiction,1399.32,(Indie Publisher),0.0,2.99,219,"Amazon Digital Services,  Inc.",382,indie,468
299.871,161.469,4.85,genre fiction,461.34,(Indie Publisher),0.0,0.99,220,"Amazon Digital Services,  Inc.",7,indie,466
418.002,975.338,4.3,genre fiction,1393.34,(Indie Publisher),0.0,2.99,220,"Amazon Digital Services,  Inc.",72,indie,466
92.07,92.07,4.64,genre fiction,460.35,Entangled: Brazen,276.21,0.99,221,Macmillan,73,big five,465
91.08,91.08,4.47,genre fiction,455.4,Bantam,273.24,0.99,224,Random House LLC,629,big five,460
296.01,159.39,4.62,genre fiction,455.4,(Indie Publisher),0.0,0.99,224,"Amazon Digital Services,  Inc.",77,indie,460
2368.236,1275.204,4.18,genre fiction,3643.44,Amazon Publishing,0.0,7.99,226,"Amazon Digital Services,  Inc.",1705,amazon,456
363.09,363.09,3.97,genre fiction,1815.45,(Small or Medium Publisher),1089.27,3.99,227,"Amazon Digital Services,  Inc.",201,small/medium,455
