disease,increase,loc,number,population,year
MEASLES,334.98999999999995,ALABAMA,8843,2640000,1928
MEASLES,200.75000000000003,ARIZONA,847,422000,1928
MEASLES,481.7700000000002,ARKANSAS,8899,1847000,1928
MEASLES,69.22,CALIFORNIA,3698,5344000,1928
MEASLES,206.97999999999996,COLORADO,2099,1014000,1928
MEASLES,634.9500000000002,CONNECTICUT,10014,1577000,1928
MEASLES,256.02000000000004,DELAWARE,597,233000,1928
MEASLES,535.6300000000001,DISTRICT OF COLUMBIA,2566,479000,1928
MEASLES,119.57999999999998,FLORIDA,1714,1433000,1928
MEASLES,159.73,GEORGIA,4637,2903000,1928
MEASLES,19.590000000000003,IDAHO,88,449000,1928
MEASLES,98.23999999999997,ILLINOIS,7444,7576000,1928
MEASLES,263.6700000000001,INDIANA,8470,3212000,1928
MEASLES,28.629999999999995,IOWA,702,2450000,1928
MEASLES,136.92000000000007,KANSAS,2533,1850000,1928
MEASLES,216.26,KENTUCKY,5551,2567000,1928
MEASLES,260.33,LOUISIANA,5373,2064000,1928
MEASLES,401.96,MAINE,3204,797000,1928
MEASLES,1089.3899999999992,MARYLAND,17539,1610000,1928
MEASLES,981.0599999999996,MASSACHUSETTS,41371,4217000,1928
MEASLES,547.5499999999998,MICHIGAN,25544,4665000,1928
MEASLES,79.13000000000001,MINNESOTA,2052,2592000,1928
MEASLES,0.0,MISSISSIPPI,0,1981000,1928
MEASLES,198.6300000000001,MISSOURI,7154,3601000,1928
MEASLES,139.85999999999999,MONTANA,757,541000,1928
MEASLES,78.95,NEBRASKA,1083,1371000,1928
MEASLES,272.15000000000003,NEW HAMPSHIRE,1274,468000,1928
MEASLES,797.1400000000001,NEW JERSEY,31631,3968000,1928
MEASLES,663.4100000000003,NEW MEXICO,2760,416000,1928
MEASLES,649.9699999999998,NEW YORK,75391,11599000,1928
MEASLES,1823.69,NORTH CAROLINA,56207,3082000,1928
MEASLES,55.73,NORTH DAKOTA,371,665000,1928
MEASLES,355.92,OHIO,23522,6608000,1928
MEASLES,268.70999999999964,OKLAHOMA,6298,2344000,1928
MEASLES,223.08999999999995,OREGON,2089,936000,1928
MEASLES,583.9500000000002,PENNSYLVANIA,57237,9802000,1928
MEASLES,735.3200000000002,RHODE ISLAND,4986,678000,1928
MEASLES,1138.49,SOUTH CAROLINA,19798,1739000,1928
MEASLES,160.16000000000003,SOUTH DAKOTA,1097,685000,1928
MEASLES,315.43,TENNESSEE,8276,2624000,1928
MEASLES,97.35000000000002,TEXAS,5524,5675000,1928
MEASLES,16.82999999999999,UTAH,85,504000,1928
MEASLES,334.7999999999998,VERMONT,1199,358000,1928
MEASLES,344.82,WASHINGTON,5348,1551000,1928
MEASLES,195.98000000000002,WEST VIRGINIA,3323,1696000,1928
MEASLES,124.61000000000003,WISCONSIN,3642,2923000,1928
MEASLES,227.0,WYOMING,500,220000,1928
POLIO,2.39,ALABAMA,62,2640000,1928
POLIO,2.6099999999999994,ARIZONA,11,422000,1928
POLIO,0.52,ARKANSAS,10,1847000,1928
POLIO,5.04,CALIFORNIA,272,5344000,1928
POLIO,7.040000000000001,COLORADO,71,1014000,1928
POLIO,4.529999999999999,CONNECTICUT,72,1577000,1928
POLIO,3.4400000000000004,DELAWARE,8,233000,1928
POLIO,6.92,DISTRICT OF COLUMBIA,33,479000,1928
POLIO,1.4700000000000004,FLORIDA,21,1433000,1928
POLIO,0.38,GEORGIA,12,2903000,1928
POLIO,8.68,IDAHO,39,449000,1928
POLIO,1.4900000000000007,ILLINOIS,114,7576000,1928
POLIO,0.9400000000000002,INDIANA,31,3212000,1928
POLIO,1.3600000000000003,IOWA,34,2450000,1928
POLIO,2.4399999999999995,KANSAS,46,1850000,1928
POLIO,1.9000000000000008,KENTUCKY,48,2567000,1928
POLIO,0.6,LOUISIANA,12,2064000,1928
POLIO,6.089999999999999,MAINE,48,797000,1928
POLIO,18.16,MARYLAND,293,1610000,1928
POLIO,8.680000000000003,MASSACHUSETTS,369,4217000,1928
POLIO,1.5400000000000005,MICHIGAN,75,4665000,1928
POLIO,7.779999999999999,MINNESOTA,201,2592000,1928
POLIO,1.5500000000000003,MISSISSIPPI,31,1981000,1928
POLIO,0.7500000000000002,MISSOURI,25,3601000,1928
POLIO,11.58,MONTANA,63,541000,1928
POLIO,2.7499999999999996,NEBRASKA,38,1371000,1928
POLIO,4.470000000000001,NEW HAMPSHIRE,21,468000,1928
POLIO,2.34,NEW JERSEY,89,3968000,1928
POLIO,4.320000000000001,NEW MEXICO,18,416000,1928
POLIO,8.159999999999998,NEW YORK,947,11599000,1928
POLIO,1.4800000000000004,NORTH CAROLINA,48,3082000,1928
POLIO,20.409999999999993,NORTH DAKOTA,136,665000,1928
POLIO,4.26,OHIO,276,6608000,1928
POLIO,1.5500000000000003,OKLAHOMA,37,2344000,1928
POLIO,9.850000000000001,OREGON,92,936000,1928
POLIO,2.18,PENNSYLVANIA,217,9802000,1928
POLIO,1.63,RHODE ISLAND,11,678000,1928
POLIO,5.149999999999999,SOUTH CAROLINA,88,1739000,1928
POLIO,6.44,SOUTH DAKOTA,44,685000,1928
POLIO,1.3,TENNESSEE,33,2624000,1928
POLIO,0.7000000000000002,TEXAS,38,5675000,1928
POLIO,1.7999999999999998,UTAH,9,504000,1928
POLIO,7.28,VERMONT,26,358000,1928
POLIO,0.6,VIRGINIA,15,2435000,1928
POLIO,20.750000000000007,WASHINGTON,322,1551000,1928
POLIO,11.49,WEST VIRGINIA,194,1696000,1928
POLIO,1.6300000000000008,WISCONSIN,50,2923000,1928
POLIO,2.7100000000000004,WYOMING,6,220000,1928
SMALLPOX,12.959999999999999,ALABAMA,341,2640000,1928
SMALLPOX,97.15999999999998,ARIZONA,410,422000,1928
SMALLPOX,13.400000000000002,ARKANSAS,248,1847000,1928
SMALLPOX,18.5,CALIFORNIA,990,5344000,1928
SMALLPOX,33.57999999999999,COLORADO,340,1014000,1928
SMALLPOX,10.190000000000001,CONNECTICUT,161,1577000,1928
SMALLPOX,0.86,DELAWARE,2,233000,1928
SMALLPOX,2.1,DISTRICT OF COLUMBIA,10,479000,1928
SMALLPOX,10.990000000000006,FLORIDA,157,1433000,1928
SMALLPOX,0.52,GEORGIA,15,2903000,1928
SMALLPOX,80.87000000000005,IDAHO,363,449000,1928
SMALLPOX,23.52,ILLINOIS,1782,7576000,1928
SMALLPOX,106.93000000000002,INDIANA,3434,3212000,1928
SMALLPOX,67.39999999999999,IOWA,1651,2450000,1928
SMALLPOX,133.71999999999997,KANSAS,2474,1850000,1928
SMALLPOX,28.719999999999988,KENTUCKY,737,2567000,1928
SMALLPOX,31.310000000000006,LOUISIANA,646,2064000,1928
SMALLPOX,11.93,MAINE,95,797000,1928
SMALLPOX,1.17,MARYLAND,19,1610000,1928
SMALLPOX,0.19999999999999998,MASSACHUSETTS,9,4217000,1928
SMALLPOX,27.53,MICHIGAN,1285,4665000,1928
SMALLPOX,4.330000000000002,MINNESOTA,111,2592000,1928
SMALLPOX,6.629999999999998,MISSISSIPPI,132,1981000,1928
SMALLPOX,40.62000000000001,MISSOURI,1462,3601000,1928
SMALLPOX,156.37,MONTANA,846,541000,1928
SMALLPOX,107.08,NEBRASKA,1468,1371000,1928
SMALLPOX,0.0,NEVADA,0,89000,1928
SMALLPOX,0.21,NEW HAMPSHIRE,1,468000,1928
SMALLPOX,2.329999999999999,NEW JERSEY,91,3968000,1928
SMALLPOX,18.479999999999997,NEW MEXICO,77,416000,1928
SMALLPOX,1.6300000000000006,NEW YORK,188,11599000,1928
SMALLPOX,77.91999999999999,NORTH CAROLINA,2402,3082000,1928
SMALLPOX,12.450000000000001,NORTH DAKOTA,83,665000,1928
SMALLPOX,16.900000000000006,OHIO,1115,6608000,1928
SMALLPOX,167.11,OKLAHOMA,3917,2344000,1928
SMALLPOX,204.18999999999997,OREGON,1911,936000,1928
SMALLPOX,0.75,PENNSYLVANIA,74,9802000,1928
SMALLPOX,0.0,RHODE ISLAND,0,678000,1928
SMALLPOX,16.71,SOUTH CAROLINA,290,1739000,1928
SMALLPOX,51.119999999999976,SOUTH DAKOTA,350,685000,1928
SMALLPOX,25.809999999999985,TENNESSEE,677,2624000,1928
SMALLPOX,31.59000000000001,TEXAS,1793,5675000,1928
SMALLPOX,82.15000000000003,UTAH,414,504000,1928
SMALLPOX,2.8000000000000007,VERMONT,10,358000,1928
SMALLPOX,0.08,VIRGINIA,2,2435000,1928
SMALLPOX,103.09,WASHINGTON,1599,1551000,1928
SMALLPOX,76.63000000000004,WEST VIRGINIA,1300,1696000,1928
SMALLPOX,28.320000000000014,WISCONSIN,827,2923000,1928
SMALLPOX,73.10000000000002,WYOMING,161,220000,1928
MEASLES,111.93000000000004,ALABAMA,2959,2644000,1929
MEASLES,54.87999999999996,ARIZONA,236,430000,1929
MEASLES,67.21999999999996,ARKANSAS,1245,1852000,1929
MEASLES,72.8,CALIFORNIA,4024,5531000,1929
MEASLES,74.24,COLORADO,748,1008000,1929
MEASLES,614.82,CONNECTICUT,9800,1594000,1929
MEASLES,239.81999999999988,DELAWARE,566,236000,1929
MEASLES,94.19999999999993,DISTRICT OF COLUMBIA,455,483000,1929
MEASLES,78.00999999999996,FLORIDA,1127,1445000,1929
MEASLES,40.63,GEORGIA,1180,2903000,1929
MEASLES,160.37,IDAHO,717,447000,1929
MEASLES,506.1800000000002,ILLINOIS,38503,7606000,1929
MEASLES,322.0999999999998,INDIANA,10391,3226000,1929
MEASLES,82.94999999999999,IOWA,2041,2460000,1929
MEASLES,555.4399999999999,KANSAS,10370,1867000,1929
MEASLES,43.17,KENTUCKY,1125,2606000,1929
MEASLES,88.78999999999999,LOUISIANA,1853,2086000,1929
MEASLES,719.1699999999997,MAINE,5732,797000,1929
MEASLES,126.04000000000005,MARYLAND,2043,1621000,1929
MEASLES,351.4200000000001,MASSACHUSETTS,14861,4229000,1929
MEASLES,376.45999999999987,MICHIGAN,18052,4795000,1929
MEASLES,492.36000000000007,MINNESOTA,12663,2572000,1929
MEASLES,183.46000000000015,MISSOURI,6644,3622000,1929
MEASLES,817.7600000000001,MONTANA,4285,524000,1929
MEASLES,303.0299999999999,NEBRASKA,4166,1375000,1929
MEASLES,344.5299999999998,NEW HAMPSHIRE,1609,467000,1929
MEASLES,181.85999999999993,NEW JERSEY,7253,3989000,1929
MEASLES,54.780000000000015,NEW MEXICO,230,420000,1929
MEASLES,249.08999999999997,NEW YORK,30318,12171000,1929
MEASLES,38.49000000000002,NORTH CAROLINA,1207,3133000,1929
MEASLES,339.19,NORTH DAKOTA,2286,674000,1929
MEASLES,561.14,OHIO,37181,6626000,1929
MEASLES,46.190000000000005,OKLAHOMA,1095,2372000,1929
MEASLES,492.32000000000005,OREGON,4662,947000,1929
MEASLES,489.5599999999998,PENNSYLVANIA,47605,9723000,1929
MEASLES,270.62,RHODE ISLAND,1851,684000,1929
MEASLES,12.200000000000003,SOUTH CAROLINA,211,1739000,1929
MEASLES,167.76999999999992,SOUTH DAKOTA,1158,690000,1929
MEASLES,33.03999999999999,TENNESSEE,860,2604000,1929
MEASLES,71.27999999999997,TEXAS,4107,5762000,1929
MEASLES,68.89999999999999,UTAH,350,508000,1929
MEASLES,105.31000000000003,VERMONT,378,359000,1929
MEASLES,248.60000000000002,WASHINGTON,3866,1555000,1929
MEASLES,380.14,WEST VIRGINIA,6527,1717000,1929
MEASLES,1016.54,WISCONSIN,29825,2934000,1929
MEASLES,312.15999999999985,WYOMING,696,223000,1929
POLIO,2.2500000000000004,ALABAMA,58,2644000,1929
POLIO,2.0700000000000003,ARIZONA,9,430000,1929
POLIO,0.2,ARKANSAS,4,1852000,1929
POLIO,2.82,CALIFORNIA,156,5531000,1929
POLIO,1.3,COLORADO,13,1008000,1929
POLIO,1.3200000000000003,CONNECTICUT,21,1594000,1929
POLIO,2.1,DELAWARE,5,236000,1929
POLIO,1.26,DISTRICT OF COLUMBIA,6,483000,1929
POLIO,2.38,FLORIDA,34,1445000,1929
POLIO,0.7800000000000002,GEORGIA,24,2903000,1929
POLIO,1.55,IDAHO,7,447000,1929
POLIO,1.1000000000000003,ILLINOIS,86,7606000,1929
POLIO,0.48,INDIANA,16,3226000,1929
POLIO,3.040000000000001,IOWA,76,2460000,1929
POLIO,1.1400000000000001,KANSAS,22,1867000,1929
POLIO,0.5199999999999999,KENTUCKY,13,2606000,1929
POLIO,0.39,LOUISIANA,8,2086000,1929
POLIO,1.6699999999999995,MAINE,13,797000,1929
POLIO,1.3200000000000003,MARYLAND,22,1621000,1929
POLIO,2.8099999999999996,MASSACHUSETTS,120,4229000,1929
POLIO,3.8000000000000007,MICHIGAN,184,4795000,1929
POLIO,1.2000000000000002,MINNESOTA,30,2572000,1929
POLIO,0.7,MISSISSIPPI,14,1998000,1929
POLIO,0.48,MISSOURI,16,3622000,1929
POLIO,1.3299999999999998,MONTANA,7,524000,1929
POLIO,0.6300000000000001,NEBRASKA,9,1375000,1929
POLIO,1.49,NEW HAMPSHIRE,7,467000,1929
POLIO,1.5900000000000005,NEW JERSEY,59,3989000,1929
POLIO,2.16,NEW MEXICO,9,420000,1929
POLIO,4.3500000000000005,NEW YORK,530,12171000,1929
POLIO,4.25,NORTH CAROLINA,133,3133000,1929
POLIO,2.3999999999999995,NORTH DAKOTA,16,674000,1929
POLIO,2.939999999999999,OHIO,189,6626000,1929
POLIO,0.8,OKLAHOMA,20,2372000,1929
POLIO,3.6899999999999995,OREGON,34,947000,1929
POLIO,1.9800000000000006,PENNSYLVANIA,197,9723000,1929
POLIO,1.6299999999999997,RHODE ISLAND,11,684000,1929
POLIO,4.73,SOUTH CAROLINA,81,1739000,1929
POLIO,0.43,SOUTH DAKOTA,3,690000,1929
POLIO,3.6100000000000008,TENNESSEE,93,2604000,1929
POLIO,0.33000000000000007,TEXAS,18,5762000,1929
POLIO,0.79,UTAH,4,508000,1929
POLIO,5.290000000000001,VERMONT,19,359000,1929
POLIO,9.93,VIRGINIA,241,2425000,1929
POLIO,1.6800000000000002,WASHINGTON,27,1555000,1929
POLIO,3.4100000000000006,WEST VIRGINIA,58,1717000,1929
POLIO,0.6500000000000004,WISCONSIN,21,2934000,1929
POLIO,1.35,WYOMING,3,223000,1929
SMALLPOX,14.33,ALABAMA,378,2644000,1929
SMALLPOX,64.16999999999999,ARIZONA,276,430000,1929
SMALLPOX,10.700000000000003,ARKANSAS,199,1852000,1929
SMALLPOX,36.34999999999998,CALIFORNIA,2009,5531000,1929
SMALLPOX,83.77000000000004,COLORADO,844,1008000,1929
SMALLPOX,2.69,CONNECTICUT,43,1594000,1929
SMALLPOX,0.84,DELAWARE,2,236000,1929
SMALLPOX,0.0,DISTRICT OF COLUMBIA,0,483000,1929
SMALLPOX,2.520000000000001,FLORIDA,36,1445000,1929
SMALLPOX,1.8900000000000001,GEORGIA,55,2903000,1929
SMALLPOX,124.14000000000001,IDAHO,555,447000,1929
SMALLPOX,54.909999999999975,ILLINOIS,4177,7606000,1929
SMALLPOX,107.15,INDIANA,3458,3226000,1929
SMALLPOX,76.63999999999999,IOWA,1885,2460000,1929
SMALLPOX,102.77000000000001,KANSAS,1919,1867000,1929
SMALLPOX,22.170000000000005,KENTUCKY,577,2606000,1929
SMALLPOX,8.770000000000001,LOUISIANA,182,2086000,1929
SMALLPOX,9.3,MAINE,74,797000,1929
SMALLPOX,0.48,MARYLAND,8,1621000,1929
SMALLPOX,1.4800000000000002,MASSACHUSETTS,63,4229000,1929
SMALLPOX,50.480000000000004,MICHIGAN,2421,4795000,1929
SMALLPOX,7.330000000000002,MINNESOTA,188,2572000,1929
SMALLPOX,1.6000000000000008,MISSISSIPPI,32,1998000,1929
SMALLPOX,32.199999999999996,MISSOURI,1166,3622000,1929
SMALLPOX,103.04999999999993,MONTANA,540,524000,1929
SMALLPOX,131.07000000000002,NEBRASKA,1802,1375000,1929
SMALLPOX,2.33,NEW HAMPSHIRE,11,467000,1929
SMALLPOX,0.03,NEW JERSEY,1,3989000,1929
SMALLPOX,19.099999999999998,NEW MEXICO,80,420000,1929
SMALLPOX,2.3799999999999994,NEW YORK,289,12171000,1929
SMALLPOX,18.570000000000007,NORTH CAROLINA,583,3133000,1929
SMALLPOX,53.3,NORTH DAKOTA,359,674000,1929
SMALLPOX,44.78,OHIO,2968,6626000,1929
SMALLPOX,86.78,OKLAHOMA,2059,2372000,1929
SMALLPOX,121.77999999999999,OREGON,1153,947000,1929
SMALLPOX,0.52,PENNSYLVANIA,52,9723000,1929
SMALLPOX,0.0,RHODE ISLAND,0,684000,1929
SMALLPOX,6.3199999999999985,SOUTH CAROLINA,109,1739000,1929
SMALLPOX,158.61999999999995,SOUTH DAKOTA,1095,690000,1929
SMALLPOX,9.490000000000004,TENNESSEE,246,2604000,1929
SMALLPOX,42.379999999999995,TEXAS,2442,5762000,1929
SMALLPOX,32.67,UTAH,166,508000,1929
SMALLPOX,38.72000000000002,VERMONT,139,359000,1929
SMALLPOX,2.6,VIRGINIA,63,2425000,1929
SMALLPOX,132.89999999999998,WASHINGTON,2067,1555000,1929
SMALLPOX,35.089999999999996,WEST VIRGINIA,603,1717000,1929
SMALLPOX,23.179999999999993,WISCONSIN,681,2934000,1929
SMALLPOX,149.80999999999997,WYOMING,334,223000,1929
MEASLES,157.00000000000006,ALABAMA,4156,2647000,1930
MEASLES,466.30999999999983,ARIZONA,2024,434000,1930
MEASLES,53.43999999999998,ARKANSAS,994,1859000,1930
MEASLES,760.2399999999997,CALIFORNIA,43416,5711000,1930
MEASLES,1132.7600000000007,COLORADO,11781,1040000,1930
MEASLES,112.22999999999999,CONNECTICUT,1810,1613000,1930
MEASLES,109.25000000000007,DELAWARE,261,239000,1930
MEASLES,182.10000000000002,DISTRICT OF COLUMBIA,889,488000,1930
MEASLES,356.58999999999975,FLORIDA,5245,1471000,1930
MEASLES,153.20999999999995,GEORGIA,4459,2910000,1930
MEASLES,196.65999999999988,IDAHO,879,447000,1930
MEASLES,216.06999999999996,ILLINOIS,16517,7644000,1930
MEASLES,120.73000000000003,INDIANA,3915,3242000,1930
MEASLES,395.59000000000003,IOWA,9791,2475000,1930
MEASLES,666.7099999999998,KANSAS,12555,1883000,1930
MEASLES,70.14999999999999,KENTUCKY,1841,2623000,1930
MEASLES,86.28999999999996,LOUISIANA,1816,2105000,1930
MEASLES,198.88,MAINE,1591,800000,1930
MEASLES,73.89,MARYLAND,1209,1636000,1930
MEASLES,630.29,MASSACHUSETTS,26787,4250000,1930
MEASLES,583.6200000000001,MICHIGAN,28213,4834000,1930
MEASLES,218.99000000000012,MINNESOTA,5641,2576000,1930
MEASLES,149.81000000000003,MISSOURI,5462,3646000,1930
MEASLES,117.52000000000001,MONTANA,633,539000,1930
MEASLES,745.32,NEBRASKA,10286,1380000,1930
MEASLES,126.38000000000004,NEW HAMPSHIRE,589,466000,1930
MEASLES,602.8700000000001,NEW JERSEY,24525,4068000,1930
MEASLES,529.2299999999999,NEW MEXICO,2260,427000,1930
MEASLES,315.3899999999999,NEW YORK,39887,12647000,1930
MEASLES,41.17,NORTH CAROLINA,1304,3167000,1930
MEASLES,117.00000000000001,NORTH DAKOTA,798,682000,1930
MEASLES,277.6000000000001,OHIO,18488,6662000,1930
MEASLES,164.92999999999995,OKLAHOMA,3960,2401000,1930
MEASLES,276.3599999999999,OREGON,2642,956000,1930
MEASLES,356.56,PENNSYLVANIA,34404,9649000,1930
MEASLES,39.22999999999999,RHODE ISLAND,269,686000,1930
MEASLES,14.450000000000001,SOUTH CAROLINA,252,1745000,1930
MEASLES,346.3100000000002,SOUTH DAKOTA,2400,693000,1930
MEASLES,179.91000000000008,TENNESSEE,4712,2619000,1930
MEASLES,73.12,TEXAS,4275,5844000,1930
MEASLES,1044.7900000000009,UTAH,5318,509000,1930
MEASLES,236.69000000000003,VERMONT,852,360000,1930
MEASLES,631.64,WASHINGTON,9904,1568000,1930
MEASLES,157.70000000000002,WEST VIRGINIA,2733,1733000,1930
MEASLES,748.5800000000002,WISCONSIN,22082,2950000,1930
MEASLES,341.54999999999995,WYOMING,772,226000,1930
POLIO,2.5700000000000003,ALABAMA,67,2647000,1930
POLIO,7.360000000000004,ARIZONA,32,434000,1930
POLIO,4.25,ARKANSAS,79,1859000,1930
POLIO,30.710000000000008,CALIFORNIA,1753,5711000,1930
POLIO,6.250000000000001,COLORADO,65,1040000,1930
POLIO,4.57,CONNECTICUT,74,1613000,1930
POLIO,2.52,DELAWARE,6,239000,1930
POLIO,1.7999999999999998,DISTRICT OF COLUMBIA,9,488000,1930
POLIO,0.8400000000000001,FLORIDA,12,1471000,1930
POLIO,0.67,GEORGIA,21,2910000,1930
POLIO,2.870000000000001,IDAHO,13,447000,1930
POLIO,5.9399999999999995,ILLINOIS,453,7644000,1930
POLIO,4.970000000000001,INDIANA,162,3242000,1930
POLIO,9.040000000000001,IOWA,224,2475000,1930
POLIO,41.25,KANSAS,777,1883000,1930
POLIO,0.98,KENTUCKY,25,2623000,1930
POLIO,14.530000000000001,LOUISIANA,306,2105000,1930
POLIO,19.49,MAINE,156,800000,1930
POLIO,2.5900000000000007,MARYLAND,43,1636000,1930
POLIO,11.82,MASSACHUSETTS,503,4250000,1930
POLIO,4.199999999999999,MICHIGAN,205,4834000,1930
POLIO,14.739999999999998,MINNESOTA,379,2576000,1930
POLIO,1.9000000000000006,MISSISSIPPI,38,2006000,1930
POLIO,5.780000000000001,MISSOURI,211,3646000,1930
POLIO,3.56,MONTANA,19,539000,1930
POLIO,20.709999999999997,NEBRASKA,286,1380000,1930
POLIO,5.51,NEW HAMPSHIRE,26,466000,1930
POLIO,1.3700000000000003,NEW JERSEY,60,4068000,1930
POLIO,7.920000000000001,NEW MEXICO,34,427000,1930
POLIO,6.050000000000001,NEW YORK,762,12647000,1930
POLIO,2.759999999999999,NORTH CAROLINA,89,3167000,1930
POLIO,6.330000000000002,NORTH DAKOTA,43,682000,1930
POLIO,13.97,OHIO,923,6662000,1930
POLIO,6.38,OKLAHOMA,154,2401000,1930
POLIO,3.2000000000000006,OREGON,31,956000,1930
POLIO,1.7300000000000002,PENNSYLVANIA,172,9649000,1930
POLIO,3.07,RHODE ISLAND,21,686000,1930
POLIO,3.5299999999999994,SOUTH CAROLINA,62,1745000,1930
POLIO,20.159999999999993,SOUTH DAKOTA,140,693000,1930
POLIO,2.370000000000001,TENNESSEE,61,2619000,1930
POLIO,2.1999999999999997,TEXAS,128,5844000,1930
POLIO,0.5900000000000001,UTAH,3,509000,1930
POLIO,0.8400000000000001,VERMONT,3,360000,1930
POLIO,0.44000000000000006,VIRGINIA,11,2427000,1930
POLIO,2.95,WASHINGTON,47,1568000,1930
POLIO,2.4000000000000004,WEST VIRGINIA,41,1733000,1930
POLIO,6.0600000000000005,WISCONSIN,180,2950000,1930
POLIO,24.31,WYOMING,55,226000,1930
SMALLPOX,7.280000000000001,ALABAMA,192,2647000,1930
SMALLPOX,126.25000000000001,ARIZONA,548,434000,1930
SMALLPOX,22.099999999999994,ARKANSAS,410,1859000,1930
SMALLPOX,40.19999999999998,CALIFORNIA,2293,5711000,1930
SMALLPOX,54.029999999999994,COLORADO,562,1040000,1930
SMALLPOX,0.0,CONNECTICUT,0,1613000,1930
SMALLPOX,0.0,DELAWARE,0,239000,1930
SMALLPOX,0.0,DISTRICT OF COLUMBIA,0,488000,1930
SMALLPOX,1.9400000000000008,FLORIDA,28,1471000,1930
SMALLPOX,0.0,GEORGIA,0,2910000,1930
SMALLPOX,45.370000000000005,IDAHO,203,447000,1930
SMALLPOX,50.92000000000001,ILLINOIS,3891,7644000,1930
SMALLPOX,161.58000000000004,INDIANA,5239,3242000,1930
SMALLPOX,123.0,IOWA,3044,2475000,1930
SMALLPOX,122.59,KANSAS,2309,1883000,1930
SMALLPOX,20.900000000000002,KENTUCKY,549,2623000,1930
SMALLPOX,12.320000000000002,LOUISIANA,258,2105000,1930
SMALLPOX,0.0,MAINE,0,800000,1930
SMALLPOX,0.0,MARYLAND,0,1636000,1930
SMALLPOX,0.0,MASSACHUSETTS,0,4250000,1930
SMALLPOX,48.55000000000001,MICHIGAN,2348,4834000,1930
SMALLPOX,11.510000000000003,MINNESOTA,295,2576000,1930
SMALLPOX,9.35,MISSISSIPPI,187,2006000,1930
SMALLPOX,44.23999999999996,MISSOURI,1613,3646000,1930
SMALLPOX,65.49999999999999,MONTANA,353,539000,1930
SMALLPOX,140.14,NEBRASKA,1934,1380000,1930
SMALLPOX,0.0,NEW HAMPSHIRE,0,466000,1930
SMALLPOX,0.02,NEW JERSEY,1,4068000,1930
SMALLPOX,40.95999999999997,NEW MEXICO,175,427000,1930
SMALLPOX,2.629999999999999,NEW YORK,332,12647000,1930
SMALLPOX,17.72000000000001,NORTH CAROLINA,562,3167000,1930
SMALLPOX,106.80000000000004,NORTH DAKOTA,728,682000,1930
SMALLPOX,77.88000000000001,OHIO,5181,6662000,1930
SMALLPOX,109.53000000000003,OKLAHOMA,2630,2401000,1930
SMALLPOX,82.19999999999997,OREGON,786,956000,1930
SMALLPOX,0.4200000000000001,PENNSYLVANIA,42,9649000,1930
SMALLPOX,0.0,RHODE ISLAND,0,686000,1930
