attendance,capacity,date,day,gross,month,performances,previews,show,theatre,year
11430,,06/10/1984,10,360507,6,8,0,42ND STREET '80,Majestic,1984
8718,,06/10/1984,10,245064,6,8,0,A CHORUS LINE,Shubert,1984
3928,,06/10/1984,10,62406,6,7,0,A MOON FOR THE MISBEGOTTEN 84,Cort,1984
4979,,06/10/1984,10,121030,6,8,0,BABY,Ethel Barrymore,1984
6670,,06/10/1984,10,152631,6,8,0,BRIGHTON BEACH MEMOIRS,Neil Simon,1984
12028,,06/10/1984,10,465628,6,8,0,CATS,Winter Garden,1984
8388,,06/10/1984,10,251338,6,8,0,DEATH OF A SALESMAN,Broadhurst,1984
5429,,06/10/1984,10,96302,6,0,8,DESIGN FOR LIVING,Circle In The Square,1984
9797,,06/10/1984,10,296020,6,8,0,DREAMGIRLS '81,Imperial,1984
6277,,06/10/1984,10,140751,6,8,0,GLENGARRY GLEN ROSS '84,John Golden,1984
13764,,06/10/1984,10,460620,6,8,0,LA CAGE AUX FOLLES '83,Palace,1984
12190,,06/10/1984,10,405729,6,8,0,MY ONE AND ONLY,St. James,1984
7749,,06/10/1984,10,195486,6,8,0,NOISES OFF '83,Brooks Atkinson,1984
2450,,06/10/1984,10,32657,6,7,0,"OH, CALCUTTA!",Edison,1984
6237,,06/10/1984,10,230498,6,8,0,SUNDAY IN THE PARK WITH GEORGE,Booth,1984
8796,,06/10/1984,10,278376,6,8,0,THE REAL THING '84,Plymouth,1984
8393,,06/10/1984,10,266797,6,8,0,THE RINK,Martin Beck,1984
11660,,06/10/1984,10,305532,6,8,0,THE TAP DANCE KID,Minskoff,1984
2000,,06/10/1984,10,25000,6,8,0,TORCH SONG TRILOGY,Helen Hayes,1984
9300,,06/10/1984,10,267302,6,8,0,ZORBA,Broadway,1984
11040,,06/17/1984,17,340706,6,8,0,42ND STREET '80,Majestic,1984
7983,,06/17/1984,17,234488,6,8,0,A CHORUS LINE,Shubert,1984
3879,,06/17/1984,17,108248,6,8,0,BABY,Ethel Barrymore,1984
6806,,06/17/1984,17,152708,6,8,0,BRIGHTON BEACH MEMOIRS,Neil Simon,1984
12030,,06/17/1984,17,465144,6,8,0,CATS,Winter Garden,1984
8381,,06/17/1984,17,279900,6,8,0,DEATH OF A SALESMAN,Broadhurst,1984
5486,,06/17/1984,17,98531,6,0,8,DESIGN FOR LIVING,Circle In The Square,1984
9432,,06/17/1984,17,287766,6,8,0,DREAMGIRLS '81,Imperial,1984
6127,,06/17/1984,17,141142,6,8,0,GLENGARRY GLEN ROSS '84,John Golden,1984
13784,,06/17/1984,17,463209,6,8,0,LA CAGE AUX FOLLES '83,Palace,1984
11859,,06/17/1984,17,385337,6,8,0,MY ONE AND ONLY,St. James,1984
8001,,06/17/1984,17,200220,6,8,0,NOISES OFF '83,Brooks Atkinson,1984
2561,,06/17/1984,17,34137,6,9,0,"OH, CALCUTTA!",Edison,1984
6268,,06/17/1984,17,239246,6,8,0,SUNDAY IN THE PARK WITH GEORGE,Booth,1984
8779,,06/17/1984,17,276272,6,8,0,THE REAL THING '84,Plymouth,1984
8190,,06/17/1984,17,259931,6,8,0,THE RINK,Martin Beck,1984
11662,,06/17/1984,17,318946,6,8,0,THE TAP DANCE KID,Minskoff,1984
2000,,06/17/1984,17,25000,6,8,0,TORCH SONG TRILOGY,Helen Hayes,1984
8614,,06/17/1984,17,244229,6,8,0,ZORBA,Broadway,1984
11687,,06/24/1984,24,361439,6,8,0,42ND STREET '80,Majestic,1984
8776,,06/24/1984,24,253251,6,8,0,A CHORUS LINE,Shubert,1984
4092,,06/24/1984,24,112314,6,8,0,BABY,Ethel Barrymore,1984
7386,,06/24/1984,24,156547,6,8,0,BRIGHTON BEACH MEMOIRS,Neil Simon,1984
12024,,06/24/1984,24,467364,6,8,0,CATS,Winter Garden,1984
8387,,06/24/1984,24,284021,6,7,0,DEATH OF A SALESMAN,Broadhurst,1984
4199,,06/24/1984,24,90998,6,6,1,DESIGN FOR LIVING,Circle In The Square,1984
10331,,06/24/1984,24,309946,6,8,0,DREAMGIRLS '81,Imperial,1984
6205,,06/24/1984,24,143283,6,8,0,GLENGARRY GLEN ROSS '84,John Golden,1984
13784,,06/24/1984,24,467171,6,8,0,LA CAGE AUX FOLLES '83,Palace,1984
12446,,06/24/1984,24,405281,6,8,0,MY ONE AND ONLY,St. James,1984
7867,,06/24/1984,24,193224,6,8,0,NOISES OFF '83,Brooks Atkinson,1984
2609,,06/24/1984,24,34803,6,9,0,"OH, CALCUTTA!",Edison,1984
6265,,06/24/1984,24,243156,6,8,0,SUNDAY IN THE PARK WITH GEORGE,Booth,1984
8776,,06/24/1984,24,282314,6,8,0,THE REAL THING '84,Plymouth,1984
8343,,06/24/1984,24,260789,6,8,0,THE RINK,Martin Beck,1984
12313,,06/24/1984,24,337450,6,8,0,THE TAP DANCE KID,Minskoff,1984
2000,,06/24/1984,24,25000,6,8,0,TORCH SONG TRILOGY,Helen Hayes,1984
8597,,06/24/1984,24,248170,6,8,0,ZORBA,Broadway,1984
11221,,07/01/1984,1,338392,7,8,0,42ND STREET '80,Majestic,1984
7398,,07/01/1984,1,239115,7,8,0,A CHORUS LINE,Shubert,1984
4264,,07/01/1984,1,112374,7,8,0,BABY,Ethel Barrymore,1984
7239,,07/01/1984,1,152596,7,8,0,BRIGHTON BEACH MEMOIRS,Neil Simon,1984
12039,,07/01/1984,1,469626,7,8,0,CATS,Winter Garden,1984
8363,,07/01/1984,1,283974,7,7,0,DEATH OF A SALESMAN,Broadhurst,1984
5574,,07/01/1984,1,127924,7,8,0,DESIGN FOR LIVING,Circle In The Square,1984
10305,,07/01/1984,1,307576,7,8,0,DREAMGIRLS '81,Imperial,1984
6262,,07/01/1984,1,141970,7,8,0,GLENGARRY GLEN ROSS '84,John Golden,1984
13386,,07/01/1984,1,468555,7,8,0,LA CAGE AUX FOLLES '83,Palace,1984
12025,,07/01/1984,1,375248,7,8,0,MY ONE AND ONLY,St. James,1984
7858,,07/01/1984,1,191501,7,8,0,NOISES OFF '83,Brooks Atkinson,1984
2516,,07/01/1984,1,33533,7,9,0,"OH, CALCUTTA!",Edison,1984
6256,,07/01/1984,1,246139,7,8,0,SUNDAY IN THE PARK WITH GEORGE,Booth,1984
8777,,07/01/1984,1,283230,7,8,0,THE REAL THING '84,Plymouth,1984
7823,,07/01/1984,1,238191,7,8,0,THE RINK,Martin Beck,1984
12249,,07/01/1984,1,335405,7,8,0,THE TAP DANCE KID,Minskoff,1984
2000,,07/01/1984,1,25000,7,8,0,TORCH SONG TRILOGY,Helen Hayes,1984
7957,,07/01/1984,1,227384,7,8,0,ZORBA,Broadway,1984
9803,,07/08/1984,8,284450,7,8,0,42ND STREET '80,Majestic,1984
8157,,07/08/1984,8,212342,7,8,0,A CHORUS LINE,Shubert,1984
7416,,07/08/1984,8,139153,7,8,0,BRIGHTON BEACH MEMOIRS,Neil Simon,1984
12080,,07/08/1984,8,473534,7,8,0,CATS,Winter Garden,1984
5416,,07/08/1984,8,125663,7,8,0,DESIGN FOR LIVING,Circle In The Square,1984
8380,,07/08/1984,8,248157,7,8,0,DREAMGIRLS '81,Imperial,1984
5501,,07/08/1984,8,107886,7,8,0,GLENGARRY GLEN ROSS '84,John Golden,1984
13421,,07/08/1984,8,476450,7,8,0,LA CAGE AUX FOLLES '83,Palace,1984
10350,,07/08/1984,8,308404,7,8,0,MY ONE AND ONLY,St. James,1984
6185,,07/08/1984,8,137986,7,8,0,NOISES OFF '83,Brooks Atkinson,1984
2412,,07/08/1984,8,32180,7,9,0,"OH, CALCUTTA!",Edison,1984
6215,,07/08/1984,8,232381,7,8,0,SUNDAY IN THE PARK WITH GEORGE,Booth,1984
7865,,07/08/1984,8,211549,7,8,0,THE REAL THING '84,Plymouth,1984
4445,,07/08/1984,8,133712,7,8,0,THE RINK,Martin Beck,1984
9686,,07/08/1984,8,267065,7,8,0,THE TAP DANCE KID,Minskoff,1984
2000,,07/08/1984,8,25000,7,8,0,TORCH SONG TRILOGY,Helen Hayes,1984
11718,,07/15/1984,15,346084,7,8,0,42ND STREET '80,Majestic,1984
9543,,07/15/1984,15,244270,7,8,0,A CHORUS LINE,Shubert,1984
8088,,07/15/1984,15,154497,7,8,0,BRIGHTON BEACH MEMOIRS,Neil Simon,1984
12023,,07/15/1984,15,469458,7,8,0,CATS,Winter Garden,1984
5576,,07/15/1984,15,125154,7,8,0,DESIGN FOR LIVING,Circle In The Square,1984
9959,,07/15/1984,15,284959,7,8,0,DREAMGIRLS '81,Imperial,1984
5809,,07/15/1984,15,117332,7,8,0,GLENGARRY GLEN ROSS '84,John Golden,1984
13784,,07/15/1984,15,482662,7,8,0,LA CAGE AUX FOLLES '83,Palace,1984
9457,,07/15/1984,15,305378,7,8,0,MY ONE AND ONLY,St. James,1984
7104,,07/15/1984,15,161992,7,8,0,NOISES OFF '83,Brooks Atkinson,1984
2561,,07/15/1984,15,34160,7,9,0,"OH, CALCUTTA!",Edison,1984
6251,,07/15/1984,15,241939,7,8,0,SUNDAY IN THE PARK WITH GEORGE,Booth,1984
7947,,07/15/1984,15,212184,7,8,0,THE REAL THING '84,Plymouth,1984
6324,,07/15/1984,15,188311,7,8,0,THE RINK,Martin Beck,1984
11697,,07/15/1984,15,319636,7,8,0,THE TAP DANCE KID,Minskoff,1984
2000,,07/15/1984,15,25000,7,8,0,TORCH SONG TRILOGY,Helen Hayes,1984
10930,,07/22/1984,22,318303,7,8,0,42ND STREET '80,Majestic,1984
9441,,07/22/1984,22,243312,7,8,0,A CHORUS LINE,Shubert,1984
8221,,07/22/1984,22,157131,7,8,0,BRIGHTON BEACH MEMOIRS,Neil Simon,1984
12028,,07/22/1984,22,469678,7,8,0,CATS,Winter Garden,1984
5583,,07/22/1984,22,131865,7,8,0,DESIGN FOR LIVING,Circle In The Square,1984
9931,,07/22/1984,22,291926,7,8,0,DREAMGIRLS '81,Imperial,1984
5472,,07/22/1984,22,111683,7,8,0,GLENGARRY GLEN ROSS '84,John Golden,1984
13784,,07/22/1984,22,486186,7,8,0,LA CAGE AUX FOLLES '83,Palace,1984
11053,,07/22/1984,22,336000,7,8,0,MY ONE AND ONLY,St. James,1984
6851,,07/22/1984,22,156412,7,8,0,NOISES OFF '83,Brooks Atkinson,1984
0,,07/22/1984,22,0,7,8,0,OEDIPUS REX,Vivian Beaumont,1984
2663,,07/22/1984,22,35494,7,9,0,"OH, CALCUTTA!",Edison,1984
6249,,07/22/1984,22,238472,7,8,0,SUNDAY IN THE PARK WITH GEORGE,Booth,1984
7853,,07/22/1984,22,205749,7,8,0,THE REAL THING '84,Plymouth,1984
6613,,07/22/1984,22,121092,7,8,0,THE RINK,Martin Beck,1984
11502,,07/22/1984,22,328167,7,8,0,THE TAP DANCE KID,Minskoff,1984
2000,,07/22/1984,22,25000,7,8,0,TORCH SONG TRILOGY,Helen Hayes,1984
10892,,07/29/1984,29,318484,7,8,0,42ND STREET '80,Majestic,1984
9108,,07/29/1984,29,242007,7,8,0,A CHORUS LINE,Shubert,1984
8420,,07/29/1984,29,161812,7,8,0,BRIGHTON BEACH MEMOIRS,Neil Simon,1984
12023,,07/29/1984,29,467743,7,8,0,CATS,Winter Garden,1984
5613,,07/29/1984,29,131420,7,8,0,DESIGN FOR LIVING,Circle In The Square,1984
9749,,07/29/1984,29,288245,7,8,0,DREAMGIRLS '81,Imperial,1984
5806,,07/29/1984,29,120159,7,8,0,GLENGARRY GLEN ROSS '84,John Golden,1984
13784,,07/29/1984,29,490854,7,8,0,LA CAGE AUX FOLLES '83,Palace,1984
11191,,07/29/1984,29,341611,7,8,0,MY ONE AND ONLY,St. James,1984
6935,,07/29/1984,29,159466,7,8,0,NOISES OFF '83,Brooks Atkinson,1984
2670,,07/29/1984,29,35613,7,9,0,"OH, CALCUTTA!",Edison,1984
6258,,07/29/1984,29,243527,7,8,0,SUNDAY IN THE PARK WITH GEORGE,Booth,1984
7302,,07/29/1984,29,191927,7,8,0,THE REAL THING '84,Plymouth,1984
6321,,07/29/1984,29,115818,7,8,0,THE RINK,Martin Beck,1984
11517,,07/29/1984,29,322437,7,8,0,THE TAP DANCE KID,Minskoff,1984
2000,,07/29/1984,29,25000,7,8,0,TORCH SONG TRILOGY,Helen Hayes,1984
8661,,07/29/1984,29,235488,7,8,0,ZORBA,Broadway,1984
10627,,08/05/1984,5,311211,8,8,0,42ND STREET '80,Majestic,1984
8463,,08/05/1984,5,230243,8,8,0,A CHORUS LINE,Shubert,1984
7460,,08/05/1984,5,143417,8,8,0,BRIGHTON BEACH MEMOIRS,Neil Simon,1984
12019,,08/05/1984,5,469530,8,8,0,CATS,Winter Garden,1984
5017,,08/05/1984,5,120699,8,8,0,DESIGN FOR LIVING,Circle In The Square,1984
9730,,08/05/1984,5,273105,8,8,0,DREAMGIRLS '81,Imperial,1984
5120,,08/05/1984,5,102230,8,8,0,GLENGARRY GLEN ROSS '84,John Golden,1984
13634,,08/05/1984,5,477845,8,8,0,LA CAGE AUX FOLLES '83,Palace,1984
10799,,08/05/1984,5,328397,8,8,0,MY ONE AND ONLY,St. James,1984
5886,,08/05/1984,5,131845,8,8,0,NOISES OFF '83,Brooks Atkinson,1984
2626,,08/05/1984,5,34998,8,9,0,"OH, CALCUTTA!",Edison,1984
6179,,08/05/1984,5,235019,8,8,0,SUNDAY IN THE PARK WITH GEORGE,Booth,1984
6860,,08/05/1984,5,176024,8,8,0,THE REAL THING '84,Plymouth,1984
4578,,08/05/1984,5,110506,8,8,0,THE RINK,Martin Beck,1984
10663,,08/05/1984,5,292706,8,8,0,THE TAP DANCE KID,Minskoff,1984
2000,,08/05/1984,5,25000,8,8,0,TORCH SONG TRILOGY,Helen Hayes,1984
8125,,08/05/1984,5,217687,8,8,0,ZORBA,Broadway,1984
11549,,08/12/1984,12,339798,8,8,0,42ND STREET '80,Majestic,1984
9151,,08/12/1984,12,257443,8,8,0,A CHORUS LINE,Shubert,1984
7726,,08/12/1984,12,151596,8,8,0,BRIGHTON BEACH MEMOIRS,Neil Simon,1984
12018,,08/12/1984,12,470373,8,8,0,CATS,Winter Garden,1984
4849,,08/12/1984,12,109296,8,8,0,DESIGN FOR LIVING,Circle In The Square,1984
10048,,08/12/1984,12,298159,8,8,0,DREAMGIRLS '81,Imperial,1984
5207,,08/12/1984,12,104645,8,8,0,GLENGARRY GLEN ROSS '84,John Golden,1984
8516,,08/12/1984,12,243193,8,8,0,HURLYBURLY,Ethel Barrymore,1984
13784,,08/12/1984,12,486944,8,8,0,LA CAGE AUX FOLLES '83,Palace,1984
10067,,08/12/1984,12,313730,8,8,0,MY ONE AND ONLY,St. James,1984
6338,,08/12/1984,12,143920,8,8,0,NOISES OFF '83,Brooks Atkinson,1984
2586,,08/12/1984,12,34495,8,9,0,"OH, CALCUTTA!",Edison,1984
6279,,08/12/1984,12,240758,8,8,0,SUNDAY IN THE PARK WITH GEORGE,Booth,1984
7048,,08/12/1984,12,178627,8,8,0,THE REAL THING '84,Plymouth,1984
11402,,08/12/1984,12,313241,8,8,0,THE TAP DANCE KID,Minskoff,1984
2000,,08/12/1984,12,25000,8,8,0,TORCH SONG TRILOGY,Helen Hayes,1984
8856,,08/12/1984,12,237229,8,8,0,ZORBA,Broadway,1984
11637,,08/19/1984,19,346262,8,8,0,42ND STREET '80,Majestic,1984
9354,,08/19/1984,19,266559,8,8,0,A CHORUS LINE,Shubert,1984
7782,,08/19/1984,19,153729,8,8,0,BRIGHTON BEACH MEMOIRS,Neil Simon,1984
12034,,08/19/1984,19,472166,8,8,0,CATS,Winter Garden,1984
3956,,08/19/1984,19,83911,8,8,0,DESIGN FOR LIVING,Circle In The Square,1984
9896,,08/19/1984,19,287571,8,8,0,DREAMGIRLS '81,Imperial,1984
4863,,08/19/1984,19,97894,8,8,0,GLENGARRY GLEN ROSS '84,John Golden,1984
8602,,08/19/1984,19,258883,8,8,0,HURLYBURLY,Ethel Barrymore,1984
13784,,08/19/1984,19,487521,8,8,0,LA CAGE AUX FOLLES '83,Palace,1984
11306,,08/19/1984,19,346139,8,8,0,MY ONE AND ONLY,St. James,1984
6425,,08/19/1984,19,142817,8,8,0,NOISES OFF '83,Brooks Atkinson,1984
2670,,08/19/1984,19,35589,8,9,0,"OH, CALCUTTA!",Edison,1984
6271,,08/19/1984,19,241961,8,8,0,SUNDAY IN THE PARK WITH GEORGE,Booth,1984
6857,,08/19/1984,19,175574,8,8,0,THE REAL THING '84,Plymouth,1984
10782,,08/19/1984,19,303350,8,8,0,THE TAP DANCE KID,Minskoff,1984
2000,,08/19/1984,19,25000,8,8,0,TORCH SONG TRILOGY,Helen Hayes,1984
8937,,08/19/1984,19,243642,8,8,0,ZORBA,Broadway,1984
